Tmâ–²,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Arizona Cardinals,16,570,365,3623,26,7.7,1884,2039,257,39.4%,65,10.0%,56,9.8%,48,169,25.9%,110
Atlanta Falcons,16,625,425,4697,34,8.3,2651,2207,225,32.9%,71,10.4%,61,9.8%,29,161,23.6%,101
Baltimore Ravens,16,596,380,3536,22,7.7,2245,1943,290,44.1%,60,9.1%,77,12.9%,39,176,26.8%,134
Buffalo Bills,16,573,369,3726,23,6.9,2599,2121,230,35.8%,50,7.8%,55,9.6%,38,143,22.2%,125
Carolina Panthers,16,585,398,3825,28,7.3,2137,1866,153,24.0%,55,8.6%,59,10.1%,29,143,22.4%,121
Chicago Bears,16,547,350,3705,28,8.1,2330,1848,131,21.4%,49,8.0%,53,9.7%,35,137,22.4%,89
Cincinnati Bengals,16,541,340,3859,32,8.7,2259,1610,182,31.1%,39,6.7%,55,10.2%,17,111,19.0%,110
Cleveland Browns,16,585,371,3962,31,8.5,2839,2206,138,21.3%,69,10.6%,35,6.0%,38,142,21.9%,96
Dallas Cowboys,16,513,328,3642,34,8.1,2102,1641,132,22.8%,56,9.7%,45,8.8%,31,132,22.8%,102
Denver Broncos,16,567,374,3807,21,8.0,2278,1811,178,27.9%,73,11.5%,52,9.2%,42,167,26.2%,94
Detroit Lions,16,557,383,4558,38,8.5,2651,2093,142,23.7%,46,7.7%,35,6.3%,24,105,17.5%,128
Green Bay Packers,16,536,346,3539,23,7.6,2241,1987,150,24.7%,49,8.1%,38,7.1%,41,128,21.1%,109
Houston Texans,16,541,377,4104,30,7.5,2115,2157,212,35.9%,46,7.8%,47,8.7%,34,127,21.5%,125
Indianapolis Colts,16,562,369,3866,24,8.2,2678,1759,108,17.1%,70,11.1%,37,6.6%,40,147,23.3%,70
Jacksonville Jaguars,16,533,370,4231,34,8.2,2176,2073,179,31.0%,41,7.1%,57,10.7%,18,116,20.1%,114
Kansas City Chiefs,16,557,349,3779,29,8.0,2257,2333,222,35.7%,55,8.9%,66,11.8%,32,153,24.6%,119
Las Vegas Raiders,16,580,370,4212,28,7.7,2319,2007,147,23.5%,71,11.3%,55,9.5%,21,147,23.5%,143
Los Angeles Chargers,16,543,340,3578,29,8.8,2196,1517,98,16.3%,58,9.7%,58,10.7%,27,143,23.8%,109
Los Angeles Rams,16,548,347,3051,17,7.7,1836,1939,171,27.3%,45,7.2%,49,8.9%,53,147,23.4%,77
Miami Dolphins,16,545,343,4024,21,9.0,2294,2008,248,40.8%,56,9.2%,54,9.9%,41,151,24.8%,106
Minnesota Vikings,16,541,358,4141,30,9.0,2530,1732,159,26.9%,49,8.3%,44,8.1%,23,116,19.6%,131
New England Patriots,16,494,333,3557,22,8.3,1890,1739,135,24.4%,79,14.3%,43,8.7%,24,146,26.4%,90
New Orleans Saints,16,557,333,3472,28,9.2,2438,1699,197,31.8%,51,8.2%,67,12.0%,45,163,26.3%,82
New York Giants,16,574,388,3807,22,7.2,2269,1856,174,26.9%,61,9.4%,64,11.1%,40,165,25.5%,97
New York Jets,16,605,418,4409,34,7.6,2483,2051,249,38.4%,57,8.8%,53,8.8%,31,141,21.7%,132
Philadelphia Eagles,16,530,364,3798,27,7.7,2249,1873,133,22.2%,56,9.4%,62,11.7%,49,167,27.9%,115
Pittsburgh Steelers,16,526,298,3110,22,9.2,2161,1547,244,40.3%,77,12.7%,80,15.2%,56,213,35.1%,111
San Francisco 49ers,16,537,341,3327,25,7.6,1830,1662,203,33.6%,68,11.2%,39,7.3%,30,137,22.6%,68
Seattle Seahawks,16,674,450,4560,23,8.0,3005,1943,253,33.5%,70,9.3%,66,9.8%,46,182,24.1%,88
Tampa Bay Buccaneers,16,617,426,3945,29,7.3,2940,2430,268,39.0%,73,10.6%,68,11.0%,48,189,27.5%,103
Tennessee Titans,16,630,423,4439,36,8.1,2702,2031,194,28.7%,49,7.2%,51,8.1%,19,119,17.6%,113
Washington Football Team,16,529,330,3068,21,8.3,2177,1546,195,32.4%,59,9.8%,50,9.5%,47,156,25.9%,120