Rk,Tmâ–²,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,EXP
1,Arizona Cardinals,16,387,575,67.3,3916,27,4.7,13,2.3,80,7.1,7.1,10.6,244.8,94.1,29,186,4.8,6.5,6.4,3,4,74.08
2,Atlanta Falcons,16,408,628,65,4363,27,4.3,11,1.8,63,7.4,7.4,11.3,272.7,93.9,41,257,6.1,6.5,6.6,,,155.83
3,Baltimore Ravens,16,257,406,63.3,2739,27,6.7,11,2.7,70,7.2,7.3,11.4,171.2,95.7,32,180,7.3,6.3,6.4,1,1,36.43
4,Buffalo Bills,16,410,596,68.8,4620,40,6.7,11,1.8,56,8.0,8.5,11.7,288.8,107.6,27,166,4.3,7.4,7.9,2,3,239.80
5,Carolina Panthers,16,373,550,67.8,3888,16,2.9,16,2.9,75,7.5,6.8,11.1,243.0,87.5,36,241,6.1,6.6,6.0,,,60.94
6,Chicago Bears,16,402,614,65.5,3655,26,4.2,16,2.6,53,6.4,6.1,9.8,228.4,86.5,36,270,5.5,5.6,5.3,3,3,37.48
7,Cincinnati Bengals,16,372,581,64,3448,19,3.3,11,1.9,72,6.5,6.3,10.2,215.5,85.7,48,345,7.6,5.5,5.3,1,1,28.77
8,Cleveland Browns,16,315,501,62.9,3539,27,5.4,8,1.6,75,7.4,7.7,11.7,221.2,96.6,26,162,4.9,6.7,7.1,2,2,130.48
9,Dallas Cowboys,16,413,639,64.6,4161,25,3.9,13,2,69,7.1,6.9,10.9,260.1,89.9,44,350,6.4,6.1,6.0,3,4,48.16
10,Denver Broncos,16,317,556,57,3451,21,3.8,23,4.1,92,6.6,5.5,11.6,215.7,72.5,32,222,5.4,5.9,4.8,2,2,3.23
11,Detroit Lions,16,374,582,64.3,4104,27,4.6,13,2.2,73,7.6,7.5,11.8,256.5,93.3,42,293,6.7,6.6,6.5,3,4,117.49
12,Green Bay Packers,16,372,526,70.7,4106,48,9.1,5,1,78,8.2,9.6,11.6,256.6,121.5,21,193,3.8,7.5,8.9,1,2,256.47
13,Houston Texans,16,383,546,70.1,4538,33,6,7,1.3,77,8.9,9.5,12.6,283.6,112.3,50,305,8.4,7.6,8.2,,,167.25
14,Indianapolis Colts,16,371,552,67.2,4053,24,4.3,11,2,55,7.6,7.6,11.3,253.3,95.9,21,133,3.7,7.1,7.0,2,3,166.22
15,Jacksonville Jaguars,16,387,616,62.8,3699,25,4.1,16,2.6,73,6.4,6.1,10.2,231.2,83.9,44,256,6.7,5.6,5.3,1,1,3.97
16,Kansas City Chiefs,16,420,630,66.7,4854,40,6.3,7,1.1,75,7.9,8.7,11.9,303.4,107.3,24,151,3.7,7.4,8.2,3,3,255.89
17,Las Vegas Raiders,16,369,551,67,4217,28,5.1,10,1.8,85,8.0,8.2,11.9,263.6,100.4,28,166,4.8,7.3,7.5,3,5,133.30
18,Los Angeles Chargers,16,413,627,65.9,4329,31,4.9,10,1.6,72,7.3,7.5,11.0,270.6,97.0,34,219,5.1,6.5,6.8,2,4,155.91
19,Los Angeles Rams,16,392,590,66.4,4014,20,3.4,14,2.4,56,7.1,6.7,10.7,250.9,88.4,25,169,4.1,6.5,6.2,0,1,71.12
20,Miami Dolphins,16,370,559,66.2,3736,24,4.3,13,2.3,70,7.0,6.9,10.6,233.5,91.2,34,201,5.7,6.3,6.1,3,3,89.14
21,Minnesota Vikings,16,349,516,67.6,4009,35,6.8,13,2.5,71,8.3,8.5,12.2,250.6,105.0,39,256,7,7.2,7.4,1,3,140.98
22,New England Patriots,16,283,440,64.3,2890,12,2.7,14,3.2,50,7.1,6.2,11.0,180.6,81.1,37,234,7.8,6.1,5.2,1,3,4.99
23,New Orleans Saints,16,370,522,70.9,3758,28,5.4,8,1.5,52,7.6,7.9,10.7,234.9,104.1,29,187,5.3,6.8,7.2,1,3,124.81
24,New York Giants,16,321,517,62.1,3026,12,2.3,11,2.1,53,6.5,6.0,10.4,189.1,79.6,50,310,8.8,5.3,4.9,0,0,-11.80
25,New York Jets,16,292,499,58.5,2796,16,3.2,14,2.8,69,6.2,5.6,10.7,174.8,75.9,43,319,7.9,5.2,4.6,,,-43.13
26,Philadelphia Eagles,16,334,598,55.9,3327,22,3.7,20,3.3,81,6.2,5.5,11.2,207.9,72.9,65,401,9.8,5.0,4.3,3,2,-18.65
27,Pittsburgh Steelers,16,428,656,65.2,4003,35,5.3,11,1.7,84,6.3,6.6,9.6,250.2,93.5,14,126,2.1,6.0,6.3,4,4,138.47
28,San Francisco 49ers,16,371,570,65.1,4033,25,4.4,17,3,76,7.6,7.1,11.6,252.1,90.1,39,287,6.4,6.6,6.2,1,1,86.06
29,Seattle Seahawks,16,388,563,68.9,3941,40,7.1,13,2.3,62,7.5,7.9,10.9,246.3,105.0,48,304,7.9,6.5,6.8,3,3,117.25
30,Tampa Bay Buccaneers,16,410,626,65.5,4626,42,6.7,12,1.9,50,7.6,8.1,11.6,289.1,102.8,22,150,3.4,7.1,7.6,3,3,269.68
31,Tennessee Titans,16,316,485,65.2,3653,33,6.8,7,1.4,75,7.9,8.6,12.1,228.3,105.9,25,173,4.9,7.2,7.8,5,6,191.17
32,Washington Football Team,16,389,601,64.7,3465,16,2.7,16,2.7,68,6.3,5.7,9.8,216.6,80.1,50,331,7.7,5.3,4.7,2,2,-22.49