Rk,Tmâ–²,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Arizona Cardinals,17,496,2076,23,57,4.2,122.1,30,16.80
2,Atlanta Falcons,17,393,1451,11,39,3.7,85.4,24,-38.99
3,Baltimore Ravens,17,517,2479,18,46,4.8,145.8,21,47.60
4,Buffalo Bills,17,461,2209,20,46,4.8,129.9,24,58.02
5,Carolina Panthers,17,455,1842,17,33,4.0,108.4,20,-1.27
6,Chicago Bears,17,475,2018,14,41,4.2,118.7,25,18.64
7,Cincinnati Bengals,17,436,1742,16,46,4.0,102.5,18,-18.66
8,Cleveland Browns,17,485,2471,20,70,5.1,145.4,20,54.65
9,Dallas Cowboys,17,473,2119,15,58,4.5,124.6,26,10.38
10,Denver Broncos,17,455,2025,16,70,4.5,119.1,12,-12.92
11,Detroit Lions,17,427,1886,12,57,4.4,110.9,17,-21.10
12,Green Bay Packers,17,446,1900,13,57,4.3,111.8,18,23.40
13,Houston Texans,17,420,1422,8,36,3.4,83.6,18,-58.45
14,Indianapolis Colts,17,499,2540,22,83,5.1,149.4,21,60.03
15,Jacksonville Jaguars,17,392,1755,13,66,4.5,103.2,21,-20.66
16,Kansas City Chiefs,17,431,1955,16,51,4.5,115.0,23,40.16
17,Las Vegas Raiders,17,414,1617,14,31,3.9,95.1,29,-36.26
18,Los Angeles Chargers,17,423,1834,18,75,4.3,107.9,10,10.08
19,Los Angeles Rams,17,420,1683,10,39,4.0,99.0,12,-56.30
20,Miami Dolphins,17,442,1568,12,30,3.5,92.2,29,-45.53
21,Minnesota Vikings,17,449,1930,10,66,4.3,113.5,21,-36.93
22,New England Patriots,17,489,2151,24,64,4.4,126.5,20,20.67
23,New Orleans Saints,17,510,1991,12,44,3.9,117.1,14,-15.55
24,New York Giants,17,419,1688,8,46,4.0,99.3,23,-18.49
25,New York Jets,17,380,1667,14,55,4.4,98.1,14,15.63
26,Philadelphia Eagles,17,550,2715,25,38,4.9,159.7,22,64.65
27,Pittsburgh Steelers,17,411,1583,10,37,3.9,93.1,19,-12.29
28,San Francisco 49ers,17,499,2166,22,49,4.3,127.4,23,-15.99
29,Seattle Seahawks,17,413,2074,18,73,5.0,122.0,17,47.42
30,Tampa Bay Buccaneers,17,385,1672,18,55,4.3,98.4,12,28.70
31,Tennessee Titans,17,551,2404,23,76,4.4,141.4,25,25.43
32,Washington Football Team,17,477,2061,13,38,4.3,121.2,25,5.87